date,Momentum-20d,MeanReversion-20d/1σ,RSI-14d(oversold<40),BollingerBands-20d/2σ,SMACross-10/30d,Buy&Hold
2023-03-23,1779754.0940884459,1318436.2608785133,910592.3826701014,1190854.408891238,1650418.802002227,1734175.1969131667
2023-03-24,1752787.1312417525,1318436.2608785133,910592.3826701014,1190854.408891238,1625411.53686211,1707898.848815332
2023-03-27,1736554.5904990826,1318436.2608785133,910592.3826701014,1190854.408891238,1610358.6199816512,1692082.0179214897
2023-03-28,1728634.6815076994,1318436.2608785133,910592.3826701014,1190854.408891238,1603014.2532778792,1684364.935106349
2023-03-29,1766205.158871782,1318436.2608785133,910592.3826701014,1190854.408891238,1637854.4721866827,1720973.245320323
2023-03-30,1792321.2224053512,1318436.2608785133,910592.3826701014,1190854.408891238,1662072.673135485,1746420.485347109
2023-03-31,1818110.016972335,1318436.2608785133,910592.3826701014,1190854.408891238,1685987.3878568592,1771548.8376542618
2023-04-03,1830415.3301159716,1318436.2608785133,910592.3826701014,1190854.408891238,1697398.4700081744,1783539.0159124972
2023-04-04,1796902.9879375566,1318436.2608785133,910592.3826701014,1190854.408891238,1666321.4803194855,1750884.9134219838
2023-04-05,1759463.4181601086,1318436.2608785133,910592.3826701014,1190854.408891238,1631602.6559016535,1714404.158295864
2023-04-06,1769674.2099175944,1318436.2608785133,910592.3826701014,1190854.408891238,1641071.4261974257,1724353.4551484422
2023-04-10,1805150.165895526,1318436.2608785133,910592.3826701014,1190854.408891238,1673969.3332506863,1758920.8839567588
2023-04-11,1778314.110635467,1318436.2608785133,910592.3826701014,1190854.408891238,1649083.4626015408,1732772.0909467777
2023-04-12,1734198.2539396628,1318436.2608785133,910592.3826701014,1190854.408891238,1608173.519144165,1689786.0263401256
2023-04-13,1732103.7325535119,1318436.2608785133,910592.3826701014,1190854.408891238,1606231.207288622,1687745.1449344684
2023-04-14,1751412.6015820906,1318436.2608785133,910592.3826701014,1190854.408891238,1624136.8947069093,1706559.5203928696
2023-04-17,1767383.3271514915,1318436.2608785133,910592.3826701014,1190854.408891238,1638947.0226054252,1722121.2411110047
2023-04-18,1810910.0997074412,1318436.2608785133,910592.3826701014,1190854.408891238,1679310.6908534297,1764533.3078223157
2023-04-19,1828189.9011431865,1318436.2608785133,910592.3826701014,1190854.408891238,1695334.7636616598,1781370.5794189866
2023-04-20,1774059.614069848,1318436.2608785133,910592.3826701014,1190854.408891238,1645138.141644969,1728626.5505915366
2023-04-21,1775041.4209696064,1318436.2608785133,910592.3826701014,1190854.408891238,1646048.6003272547,1729583.2137504383
2023-04-24,1775041.4209696064,1318436.2608785133,910592.3826701014,1190854.408891238,1641374.9124248545,1724672.3428680762
2023-04-25,1722463.6464634065,1318436.2608785133,910592.3826701014,1190854.408891238,1592756.4187907923,1673586.5301827227
2023-04-26,1722463.6464634065,1354360.2701208491,935403.6914467913,1190854.408891238,1636154.9493130825,1719187.4740903727
