date,SMAcross-20/50(equal-wt),SMAcross-20/50(risk-adj),TopK-Momentum-30d/K10(equal-wt),TopK-Momentum-30d/K10(risk-adj),NDX100-EqualWeight-BH
2023-03-01,845220.6482961449,905228.9575440432,906714.3499260278,954149.7385871867,1127672.8772092632
2023-03-02,856367.8301172878,916723.6313745378,910955.1697558347,956388.7090061998,1141722.1147871742
2023-03-03,869213.9536988746,929174.1691271038,934323.2622812805,983380.9285888202,1157373.226114021
2023-03-06,864805.4214128111,926190.2161122431,925515.4511190924,975433.2503412584,1152877.650066974
2023-03-07,855615.6579401868,916036.9859620187,916493.3520478876,966141.6105812532,1139580.6175629671
2023-03-08,861093.6916145775,921995.4225096973,922858.7797808973,972698.3451291998,1145316.2431047158
2023-03-09,839619.3080044242,902021.5302171861,892152.1768802468,941332.1942013459,1121881.7368584818
2023-03-10,820483.4794146171,884748.145969132,879896.0306670645,927355.2925491959,1101317.798068356
2023-03-13,823731.0282638171,884661.4033690081,884516.7923311187,933120.6182372909,1106866.0191652637
2023-03-14,841980.0256707094,902661.3368272173,913597.7203284531,964418.070892448,1125731.225983074
2023-03-15,836438.8091988211,896225.8091298891,911709.2125383927,960871.6774157785,1120220.5342711953
2023-03-16,857521.5680436678,916076.4230615824,943769.8911890374,991599.2314115607,1143739.1692127166
2023-03-17,852355.6099929593,909259.8210946192,937793.5910578901,985132.9532477233,1135365.2349433347
2023-03-20,858212.4078825826,917271.7405756685,937662.745855092,983011.8263033257,1142051.1444584546
2023-03-21,871035.7420593565,926989.1461914958,948277.7512349387,992462.4209701387,1156066.4009099845
2023-03-22,856135.8477832411,912485.2774664008,930814.2799121048,972889.4973571701,1133348.3002844143
2023-03-23,867367.609180545,923360.2757063776,946443.2809668275,988276.4827467012,1146769.7388547491
2023-03-24,864587.3028291366,923505.0848522609,935734.9268771197,978077.8131299396,1147249.633299577
2023-03-27,863873.8531278687,922870.3651506141,928323.3806778218,971910.98338137,1146353.674315409
2023-03-28,860750.6564155308,921121.8577289967,917780.4840044455,962619.8749370921,1143457.988519083
2023-03-29,875050.2851830317,935153.9894720204,930625.6025466501,976475.5616628034,1166566.924440015
2023-03-30,883125.5841990681,942970.0028299703,944809.8031448507,991606.9379824875,1175587.528193472
2023-03-31,899079.3674064254,958527.9431011451,964835.2270797673,1012708.0590947279,1195112.262406011
2023-04-03,898075.5868004643,958517.9252438934,964117.0692520072,1011648.3294652731,1191617.8725436695
2023-04-04,893323.4112078585,953490.2651414917,960293.9801255568,1007371.228317939,1183627.7882913863
2023-04-05,881850.61330345,943968.5971035345,930000.4670155545,977230.2887679022,1170613.654035912
2023-04-06,882372.997601169,943911.789694802,941021.2145704154,987839.777117341,1171443.5426433508
2023-04-10,886359.1933055241,946913.1508486791,940527.8874702795,985653.081168807,1180347.192232099
2023-04-11,886581.5140599816,946281.7026283379,938173.2415288709,978597.7357804797,1181767.2076167671
2023-04-12,881833.0321961683,943047.067203768,925805.6458245416,965944.1712321608,1172314.0422093216
2023-04-13,893927.4257823384,954498.894348751,943800.4995982777,983187.4763199495,1187725.9327945944
2023-04-14,892324.3054609956,952066.2115259327,943414.7486561311,983813.9398821555,1184132.48494652
2023-04-17,892293.7597924292,953503.0272989841,930686.4639610072,974153.1174305761,1188313.7913226332
2023-04-18,894332.5811390084,955638.0373273967,936416.1785744872,977048.5984177812,1189604.125725581
2023-04-19,892368.7729130738,954537.0217348537,939343.0604250942,984888.3793203668,1186182.9157956182
2023-04-20,890518.1692446913,954132.7644147797,924517.9532120378,974123.2736892538,1178981.301768934
2023-04-21,893057.8240569915,956745.9422140358,923147.4802698848,974266.1310383574,1181102.4793016647
2023-04-24,891428.8313241955,956968.5432244057,916821.8504588563,970814.7097373251,1179645.9811885944
2023-04-25,875048.766747012,944244.0058496679,894984.9560507401,945354.1587066051,1154684.0765387437
2023-04-26,872629.89700108,938871.9266231648,897318.4342226334,942092.415263134,1152699.565317225
2023-04-27,888919.3595805987,954175.6763182582,918002.9292325,957595.6223934339,1172662.8664743262
2023-04-28,894956.8684110353,959742.5934270071,928963.6850229953,966547.4369149845,1183568.529531987
2023-05-01,895042.7574478072,961811.0149847281,921932.428967668,965060.7965640542,1183861.2127788137
2023-05-02,886555.8749918452,953475.377340974,913424.7859720852,962696.7539386803,1170695.041078023
2023-05-03,880804.309780908,947078.6091625465,901623.9099407623,945393.5395698233,1164823.3971075069
2023-05-04,881220.5935729692,946405.3852045818,902435.2328908867,946406.6567943355,1164925.2748485974
2023-05-05,896054.8587786932,960059.3658027317,917327.2144264166,952103.8930882713,1182481.0068752747
2023-05-08,897818.2261763136,961514.2711416407,910788.4573683838,949128.333774763,1188432.9780066316
2023-05-09,895335.6375361424,959717.697088101,913702.7867700796,952323.6467882182,1185175.7643072258
2023-05-10,901126.0053167115,963108.7628402554,928547.7393876063,958857.2963680021,1191797.8748722693
2023-05-11,903213.6130619547,964560.7234315613,941474.011820759,972807.1911026901,1190561.3004019172
2023-05-12,900254.5027943008,963932.1700217851,935183.9405219028,970933.0236682188,1187727.2731621491
2023-05-15,904449.7397547176,964193.4167331689,939904.8218565445,968716.7025695023,1200997.8711642697
2023-05-16,898035.3855694665,956821.0907746652,939267.7610105078,971663.6593604329,1190610.3309529354
2023-05-17,907836.2890135895,962172.8646428421,961523.8923685044,980702.7987511492,1205926.8029445952
2023-05-18,925301.2589155373,977565.0895430737,994999.9645320014,1005432.2229670056,1228599.882871117
2023-05-19,923354.3169694516,976518.7595448124,990549.1882912021,1002626.4628522054,1225951.7941101696
2023-05-22,923622.9329050292,973447.5482408492,995198.0270785575,1002351.0641210806,1231505.895461415
2023-05-23,910421.8371489797,959284.7346752789,974134.4760184108,973547.703406429,1214442.1713356064
2023-05-24,905201.5215515527,953698.5250819676,971118.5973591083,969811.5111667912,1206638.220381219
2023-05-25,918384.6809502468,963859.743739997,986565.388201845,987157.141338151,1218363.6817666288
2023-05-26,940043.9252494515,979545.6904211008,1054919.424156678,1076511.7450059245,1248100.7511501175
2023-05-30,939853.2793113434,975641.175105749,1063272.2284957804,1082818.1084774714,1247423.9013249148
2023-05-31,935178.4915278063,974542.6894123324,1043141.7074830419,1063777.4468302072,1244196.9228650334
2023-06-01,943396.3933495979,982292.1509809243,1053395.9673301678,1075946.8283262153,1254176.1300588092
2023-06-02,950585.308464693,991723.7523148435,1059106.6646590452,1083358.9713688733,1266135.5061153744
2023-06-05,955391.9764130816,995440.0541019909,1069556.574467482,1091416.0439013492,1266457.5592710637
2023-06-06,955298.2562220811,993680.9974746556,1073079.1426123485,1099005.4284877002,1269845.8920774157
2023-06-07,937623.7766683442,978801.3861377689,1028479.5906876834,1054751.7518548893,1256662.6842959335
2023-06-08,949010.8376588429,989497.6800998397,1054775.3940072113,1082345.2496095386,1268254.4258854997
2023-06-09,950777.8115549765,989842.9378058678,1062504.0803163145,1091408.8417857408,1268257.1028826365
2023-06-12,968573.4090080432,1004383.9077043266,1096144.4151226175,1126167.8493166878,1287500.443987485
2023-06-13,977109.4402625153,1011476.8138150912,1103937.3025199983,1134463.388809652,1298002.6373606331
